,audienceRating,Genre,criticRating,timeMin,grossMillions,Movie,Vote,Year
84,6.1,Comedy,45,104,69.69,Sale môme,36345,2000
85,6.9,Drama,71,92,8.28,L'ombre du vampire,35925,2000
86,6.8,Drama,70,108,0.0,Ginger Snaps,35800,2000
87,7.0,Drama,55,101,0.14,Tigerland,34864,2000
88,5.7,Action,37,104,23.36,Piège fatal,33412,2000
89,6.7,Comedy,69,94,17.07,Escrocs mais pas trop,33148,2000
90,7.2,Biography,65,94,0.23,Chopper,33120,2000
91,4.0,Adventure,15,90,26.44,Blair Witch 2: Le Livre des ombres,31873,2000
92,6.2,Comedy,69,110,25.17,Nurse Betty,30964,2000
93,6.1,Comedy,41,98,57.33,Next Friday,30633,2000
94,5.1,Action,24,102,14.97,Get Carter,29084,2000
95,4.9,Adventure,35,100,66.96,102 dalmatiens,28936,2000
96,4.9,Action,26,99,33.02,Dracula 2001,28919,2000
97,3.7,Action,14,107,15.22,Donjons & dragons,28848,2000
98,6.8,Comedy,30,120,33.77,Où le coeur nous mène,28730,2000
99,6.7,Action,49,119,6.06,Way of the Gun,28632,2000
100,5.6,Action,24,106,35.01,The skulls: société secrète,28323,2000
101,5.7,Action,30,117,30.21,L'art de la guerre,26355,2000
102,7.7,Animation,62,103,0.03,Vampire Hunter D: Bloodlust,24827,2000
103,7.7,Drama,85,111,9.18,Tu peux compter sur moi,24617,2000
104,7.0,Biography,77,122,8.6,Pollock,24394,2000
105,5.3,Comedy,35,98,15.62,Loser,24136,2000
106,5.3,Crime,22,97,28.93,The Watcher,23280,2000
107,7.3,Biography,85,133,4.22,Avant la nuit,21905,2000
108,5.5,Drama,24,103,37.75,Un automne à New York,21761,2000
109,7.0,Drama,59,126,17.87,Manipulations,21293,2000
110,7.9,Action,58,110,0.0,JSA - Joint Security Area,21140,2000
111,7.2,Crime,47,114,0.45,"Aniki, mon frère",19737,2000
112,6.5,Crime,43,110,0.26,Suspicion,19460,2000
113,5.9,Drama,25,122,0.05,The Million Dollar Hotel,19244,2000
114,6.8,Comedy,75,105,6.92,Séquences et conséquences,18958,2000
115,7.5,Comedy,84,106,1.07,Together,18594,2000
116,5.7,Drama,52,106,36.78,Un amour infini,18451,2000
117,7.8,Adventure,71,99,0.0,Julie en juillet,18062,2000
118,7.0,Comedy,61,95,34.1,Mon chien Skip,17544,2000
119,4.2,Animation,36,92,26.0,Les aventures de Rocky & Bullwinkle,17535,2000
120,4.6,Action,21,87,12.8,Highlander: Endgame,17367,2000
121,6.4,Crime,58,115,0.88,The Yards,17335,2000
122,6.9,Comedy,54,115,32.66,Droit au coeur,17319,2000
123,3.6,Comedy,27,90,35.27,Les Pierrafeu à Rock Vegas,17068,2000
124,6.7,Drama,52,115,17.17,Danse ta vie,16685,2000
125,4.6,Comedy,64,122,13.11,Docteur T & les femmes,16260,2000
126,7.7,Action,47,109,0.0,Blinkende lygter,16237,2000
127,6.9,Comedy,62,93,12.12,Saving Grace,16111,2000
128,7.2,Drama,70,124,27.44,Love & Basketball,15604,2000
129,4.8,Horror,19,90,14.22,Supernova,15461,2000
130,4.5,Crime,35,77,0.01,Baise-moi,15343,2000
131,8.1,Drama,93,173,1.14,Yi yi,14917,2000
132,5.4,Comedy,29,94,20.63,Boys and Girls,14503,2000
133,6.3,Animation,53,77,45.55,Les aventures de Tigrou et de Winnie l'ourson,14402,2000
134,7.7,Comedy,76,98,0.0,Chansons du deuxième étage,14249,2000
135,4.2,Horror,16,97,21.47,Urban Legend 2: Coup de grâce,13926,2000
136,7.2,Comedy,74,101,2.25,The Dish,13539,2000
137,7.6,Drama,64,135,0.87,La princesse et le guerrier,13412,2000
138,6.2,Drama,40,100,0.74,The man who cried - Les larmes d'un homme,13147,2000
139,5.9,Drama,31,90,5.11,Fausses rumeurs,13109,2000
140,4.9,Comedy,13,91,20.04,In Love,12955,2000
141,5.1,Crime,17,107,29.37,L'élue,12758,2000
142,5.3,Comedy,23,107,12.37,Ready to Rumble,12344,2000
143,5.6,Crime,25,96,15.43,Mais qui a tué Mona?,12220,2000
144,6.2,Comedy,57,87,1.28,Cecil B. Demented,12007,2000
145,5.8,Drama,55,116,15.53,De si jolis chevaux,11948,2000
146,7.1,Comedy,77,112,4.45,Italian for Beginners,11856,2000
147,6.8,Crime,60,103,0.03,Gangster Number One,11598,2000
148,5.1,Comedy,22,84,13.59,Ladies Man,11286,2000
149,6.6,Crime,65,94,0.04,Animal Factory,11282,2000
150,7.1,Drama,61,90,0.02,L'île,10971,2000
151,6.7,Animation,44,48,0.0,Blood: The Last Vampire,10765,2000
152,4.8,Comedy,33,94,36.05,Raccroche!,10701,2000
153,6.1,Horror,33,96,0.01,Anatomie,10640,2000
154,5.0,Adventure,34,89,60.02,Jour blanc,10071,2000
155,8.3,Drama,92,145,0.03,Les Harmonies Werckmeister,9987,2000
156,4.8,Drama,16,97,16.78,Les âmes perdues,9774,2000
157,4.7,Comedy,25,108,14.99,Un couple presque parfait,9769,2000
158,5.8,Action,39,119,15.33,Piégé,9572,2000
159,7.2,Drama,74,118,0.1,Code inconnu: Récit incomplet de divers voyages,9490,2000
160,6.5,Comedy,50,135,2.19,The Very Black Show,9099,2000
